C1,fpga_vcco_small(1)
C10,fpga_vcco_small(10)
C11,fpga_vcco_small(11)
C12,fpga_vcco_small(12)
C13,fpga_vccaux_small(1)
C14,fpga_vccaux_small(2)
C15,fpga_vccaux_small(3)
C16,fpga_vccaux_small(4)
C17,fpga_vccaux_small(5)
C18,fpga_vccaux_small(6)
C19,fpga_vccaux_small(7)
C2,fpga_vcco_small(2)
C20,fpga_vccaux_small(8)
C21,fpga_vccint_small(1)
C22,fpga_vccint_small(2)
C23,fpga_vccint_small(3)
C24,fpga_vccint_small(4)
C25,fpga_vccint_small(5)
C26,fpga_vccint_small(6)
C27,fpga_vccint_small(7)
C28,fpga_vccint_small(8)
C29,fpga_vcco_large(1)
C3,fpga_vcco_small(3)
C30,fpga_vcco_large(2)
C31,fpga_vcco_large(3)
C32,fpga_vccaux_large(1)
C33,fpga_vccaux_large(2)
C34,fpga_vccint_large(1)
C35,fpga_vccint_large(2)
C36,mem_cap(1)
C37,mem_cap(2)
C38,mem_cap(3)
C39,mem_cap(4)
C4,fpga_vcco_small(4)
C40,mem_cap(5)
C41,mem_cap(6)
C42,mem_cap(7)
C43,mem_cap(8)
C44,clk_cap
C45,flash_cap(1)
C46,flash_cap(2)
C47,flash_cap(3)
C48,dac_cap
C49,enc_cap
C5,fpga_vcco_small(5)
C50,sense_cap
C51,fet_driver_cap(1)
C52,fet_driver_cap(2)
C53,fet_driver_cap(3)
C54,fet_driver_cap(4)
C55,rfsh_cap(1)
C56,rfsh_cap(2)
C57,bldc_boot_cap(1)
C58,bldc_boot_cap(2)
C59,bldc_boot_cap(3)
C6,fpga_vcco_small(6)
C60,bldc_boot_cap(4)
C61,bldc_boot_cap(5)
C62,bldc_boot_cap(6)
C63,bridge_boot(1)
C64,bridge_boot(2)
C65,bridge_boot(3)
C66,bridge_boot(4)
C67,motor_power_caps(1)
C68,motor_power_caps(2)
C69,motor_power_caps(3)
C7,fpga_vcco_small(7)
C70,motor_power_caps(4)
C71,motor_power_caps(5)
C72,motor_power_caps(6)
C73,conv_cap(1)
C74,conv_cap(2)
C75,conv_cap(3)
C76,conv_cap(4)
C77,conv_cap(5)
C78,12v_pcap(1)
C79,12v_pcap(2)
C8,fpga_vcco_small(8)
C80,5v_pcap(1)
C81,5v_pcap(2)
C82,5v_reg_cap(1)
C83,5v_reg_cap(2)
C84,3v3_cap(1)
C85,3v3_cap(2)
C86,3v3_cap(3)
C87,3v3_cap(4)
C88,3v3_pcap(1)
C89,3v3_pcap(2)
C9,fpga_vcco_small(9)
C90,2v5_cap(1)
C91,2v5_cap(2)
C92,2v5_cap(3)
C93,1v2_cap
C94,1v2_reg_cap
D1,bldc_boot_diode(1)
D10,bldc_clamp(4)
D11,bldc_clamp(5)
D12,bldc_clamp(6)
D13,bldc_clamp(7)
D14,bldc_clamp(8)
D15,bldc_clamp(9)
D16,bldc_clamp(10)
D17,bldc_clamp(11)
D18,bldc_clamp(12)
D2,bldc_boot_diode(2)
D3,bldc_boot_diode(3)
D4,bldc_boot_diode(4)
D5,bldc_boot_diode(5)
D6,bldc_boot_diode(6)
D7,bldc_clamp(1)
D8,bldc_clamp(2)
D9,bldc_clamp(3)
H1,mounts(1)
H2,mounts(2)
H3,mounts(3)
H4,mounts(4)
J1,pmod_hdr0
J10,enc_hdrs(1)
J11,sense_hdrs(0)
J12,sense_hdrs(1)
J13,bldc_out(0)
J14,bldc_out(1)
J15,brushed_out(0)
J16,brushed_out(1)
J17,motor_power
J18,rs232_port
J19,rs232_aux_port
J2,pmod_hdr1
J20,lanc
J21,12vdc_in
J3,mode_sel
