#Release 13.1 - par O.40d (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sun May 22 11:23:18 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fmcw_fpga_map.ncd
#OUTPUT FILE:      fmcw_fpga_pad.csv
#PART TYPE:        xc6vlx75t
#SPEED GRADE:      -2
#PACKAGE:          ff784
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,GND,,,,,,,,,,,,
A3,,IPAD,MGTRXP3_116,UNUSED,,,,,,,,,,,
A4,,IPAD,MGTRXN3_116,UNUSED,,,,,,,,,,,
A5,,,MGTAVTTRCAL_115,,,,,,,,,,,,
A6,,,GND,,,,,,,,,,,,
A7,dac_d1_p<3>,IOBM,IO_L3P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
A8,,,GND,,,,,,,,,,,,
A9,dac_d1_n<0>,IOBS,IO_L2N_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,NO,NONE,
A10,dac_d1_p<0>,IOBM,IO_L2P_36,OUTPUT,LVDS_25,36,,,,,,UNLOCATED,YES,NONE,
A11,adc_dqd_p<5>,IOB,IO_L14P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
A12,adc_dqd_n<5>,IOB,IO_L14N_VREF_26,,LVDS_25,26,,,,,,,NO,,
A13,,,VCCO_26,,,26,,,,,2.50,,,,
A14,dac_d1_n<5>,IOBS,IO_L9N_MRCC_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,NO,NONE,
A15,adc_dqd_p<1>,IOB,IO_L13P_26,INPUT,LVDS_25,26,,,,NONE,,UNLOCATED,YES,NONE,
A16,adc_dqd_n<1>,IOB,IO_L13N_26,,LVDS_25,26,,,,,,,NO,,
A17,dac_d1_p<7>,IOBM,IO_L17P_26,OUTPUT,LVDS_25,26,,,,,,UNLOCATED,YES,NONE,
A18,,,GND,,,,,,,,,,,,
A19,adc_dq_n<3>,IOB,IO_L8N_SRCC_25,,LVDS_25,25,,,,,,,NO,,
A20,adc_dq_p<3>,IOB,IO_L8P_SRCC_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
A21,adc_dq_p<8>,IOB,IO_L11P_SRCC_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
A22,adc_dq_n<8>,IOB,IO_L11N_SRCC_25,,LVDS_25,25,,,,,,,NO,,
A23,,,VCCO_25,,,25,,,,,any******,,,,
A24,adc_did_p<1>,IOB,IO_L15P_25,INPUT,LVDS_25,25,,,,NONE,,UNLOCATED,YES,NONE,
A25,adc_did_n<1>,IOB,IO_L15N_25,,LVDS_25,25,,,,,,,NO,,
A26,adc_di_p<7>,IOB,IO_L7P_16,INPUT,LVDS_25,16,,,,NONE,,UNLOCATED,YES,NONE,
A27,adc_di_n<7>,IOB,IO_L7N_16,,LVDS_25,16,,,,,,,NO,,
A28,,,GND,,,,,,,,,,,,
AA1,,,GND,,,,,,,,,,,,
AA2,,,GND,,,,,,,,,,,,
AA3,,IPAD,MGTREFCLK0N_114,UNUSED,,,,,,,,,,,
AA4,,IPAD,MGTREFCLK0P_114,UNUSED,,,,,,,,,,,
AA5,,,GND,,,,,,,,,,,,
AA6,,,TDI_0,,,,,,,,,,,,
AA7,adc_di_p<9>,IOB,IO_L2P_SM0P_35,INPUT,LVDS_25,35,,,,NONE,,UNLOCATED,YES,NONE,
AA8,,,GND,,,,,,,,,,,,
AA9,,IOBM,IO_L4P_35,UNUSED,,35,,,,,,,,,
AA10,adc_di_n<8>,IOB,IO_L1N_35,,LVDS_25,35,,,,,,,NO,,
AA11,,IOBS,IO_L9N_MRCC_35,UNUSED,,35,,,,,,,,,
AA12,cfg_fcs_b,IOB,IO_L8N_SRCC_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AA13,,,VCCO_34,,,34,,,,,2.50,,,,
AA14,cfg_addr<1>,IOB,IO_L3N_A12_D28_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AA15,cfg_dq<8>,IOB,IO_L16P_A21_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AA16,cfg_dq<10>,IOB,IO_L17P_A19_34,OUTPUT,LVCMOS25*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
AA17,,IOBS,IO_L19N_VRP_34,UNUSED,,34,,,,,,,,,
AA18,,,GND,,,,,,,,,,,,
AA19,,,NC,,,,,,,,,,,,
AA20,,,NC,,,,,,,,,,,,
AA21,,,NC,,,,,,,,,,,,
AA22,,IOBS,IO_L19N_24,UNUSED,,24,,,,,,,,,
AA23,,,VCCO_24,,,24,,,,,any******,,,,
AA24,,IOBM,IO_L6P_D7_24,UNUSED,,24,,,,,,,,,
AA25,,IOBS,IO_L6N_D6_24,UNUSED,,24,,,,,,,,,
AA26,,IOBM,IO_L0P_GC_24,UNUSED,,24,,,,,,,,,
AA27,,IOBS,IO_L0N_GC_24,UNUSED,,24,,,,,,,,,
AA28,,,GND,,,,,,,,,,,,
AB1,,OPAD,MGTTXP2_114,UNUSED,,,,,,,,,,,
