Bill of Materials - digiclk
QUANTITY, NAME, REFDES, PKG_TYPE, VALUE, PINOUT
6, p7448, BC6; BC5; BC4; BC3; BC2; BC1, , , 
6, p7306003, L7; L6; L5; L4; L3; L2, , , 
3, p7492, D4; D3; D2, , , 
3, p7490, B3; B2; B1, , , 
1, p7432, O1, , , 
1, button, L1, , , 
1, switch, S1, , , 
1, p556, U1, , , 
1, resistor, R3, , 350k, 
1, resistor, R2, , 1k, 
1, resistor, R1, , 680, 
1, capacitor, C3, , 1uF, 
1, capacitor, C2, , 10nF, 
1, capacitor, C1, , 47uF, 
1, diode, D1, , , 
1, p7411, A1, , , A
1, p1043, P1, , , 
