C1,decoupling_caps(8)
C10,rx_coupling_caps(2)
C11,rx_coupling_caps(3)
C12,rx_coupling_caps(4)
C13,rx_coupling_caps(6)
C14,rx_coupling_caps(5)
C15,rx_coupling_caps(7)
C16,clk_buffer_iso_caps(4)
C17,clk_buffer_iso_caps(3)
C18,clk_buffer_iso_caps(2)
C19,clk_buffer_iso_caps(1)
C2,decoupling_caps(9)
C20,decoupling_caps(4)
C21,decoupling_caps(5)
C22,decoupling_caps(6)
C23,decoupling_caps(7)
C24,decoupling_caps(1)
C25,decoupling_caps(2)
C26,decoupling_caps(3)
C3,decoupling_caps(10)
C4,rx_coupling_caps(8)
C5,rx_coupling_caps(10)
C6,rx_coupling_caps(9)
C7,rx_coupling_caps(11)
C8,rx_coupling_caps(12)
C9,rx_coupling_caps(1)
J2,header_IO
P1,port4(4)
P10,port0(2)
P11,port1(2)
P12,port1(1)
P13,port1(3)
P14,port1(4)
P15,port0(4)
P16,port0(3)
P17,port2(4)
P18,port2(3)
P19,port2(1)
P2,port4(3)
P20,port2(2)
P21,port3(2)
P22,port3(1)
P23,port3(3)
P24,port3(4)
P25,single_ended_clk_input
P26,diff_clk_input(2)
P27,sync_connectors(2)
P28,sync_connectors(1)
P29,diff_single_select
P3,port4(1)
P30,diff_clk_input(1)
P4,port4(2)
P5,port5(2)
P6,port5(1)
P64,docking_connector
P7,port5(3)
P8,port5(4)
P9,port0(1)
R1,clk_buffer_terminations(3)
R10,clk_biasing_network(1)
R11,clk_biasing_network(5)
R12,clk_biasing_network(2)
R13,clk_biasing_network(7)
R14,clk_biasing_network(8)
R15,clk_biasing_network(6)
R2,clk_buffer_terminations(4)
R3,clk_biasing_network(3)
R4,clk_biasing_network(10)
R5,clk_buffer_terminations(1)
R6,clk_buffer_terminations(2)
R7,clk_biasing_network(4)
R8,clk_biasing_network(9)
R9,sync_termination
T1,single_iso_transformer
T2,diff_iso_transformer
U1,clock_buffer
U10,mounting_holes(4)
U2,mounting_holes(1)
U3,mounting_holes(2)
U9,mounting_holes(3)
