C0,fpga_vcco_small(1)
C1,fpga_vcco_small(2)
C10,fpga_vcco_small(11)
C11,fpga_vcco_small(12)
C12,fpga_vccaux_small(1)
C13,fpga_vccaux_small(2)
C14,fpga_vccaux_small(3)
C15,fpga_vccaux_small(4)
C16,fpga_vccaux_small(5)
C17,fpga_vccaux_small(6)
C18,fpga_vccaux_small(7)
C19,fpga_vccaux_small(8)
C2,fpga_vcco_small(3)
C20,fpga_vccint_small(1)
C21,fpga_vccint_small(2)
C22,fpga_vccint_small(3)
C23,fpga_vccint_small(4)
C24,fpga_vccint_small(5)
C25,fpga_vccint_small(6)
C26,fpga_vccint_small(7)
C27,fpga_vccint_small(8)
C28,fpga_vcco_large(1)
C29,fpga_vcco_large(2)
C3,fpga_vcco_small(4)
C30,fpga_vcco_large(3)
C31,fpga_vccaux_large(1)
C32,fpga_vccaux_large(2)
C33,fpga_vccint_large(1)
C34,fpga_vccint_large(2)
C35,mem_cap(1)
C36,mem_cap(2)
C37,mem_cap(3)
C38,mem_cap(4)
C39,mem_cap(5)
C4,fpga_vcco_small(5)
C40,mem_cap(6)
C41,mem_cap(7)
C42,mem_cap(8)
C43,clk_cap
C44,flash_cap(1)
C45,flash_cap(2)
C46,flash_cap(3)
C47,enc_cap
C48,sense_cap
C49,fet_driver_cap(1)
C5,fpga_vcco_small(6)
C50,fet_driver_cap(2)
C51,fet_driver_cap(3)
C52,fet_driver_cap(4)
C53,rfsh_cap(1)
C54,rfsh_cap(2)
C55,bldc_boot_cap(1)
C56,bldc_boot_cap(2)
C57,bldc_boot_cap(3)
C58,bldc_boot_cap(4)
C59,bldc_boot_cap(5)
C6,fpga_vcco_small(7)
C60,bldc_boot_cap(6)
C61,bridge_boot(1)
C62,bridge_boot(2)
C63,bridge_boot(3)
C64,bridge_boot(4)
C65,conv_cap(1)
C66,conv_cap(2)
C67,conv_cap(3)
C68,conv_cap(4)
C69,conv_cap(5)
C7,fpga_vcco_small(8)
C70,5v_reg_cap(1)
C71,5v_reg_cap(2)
C72,3v3_cap(1)
C73,3v3_cap(2)
C74,3v3_cap(3)
C75,3v3_cap(4)
C76,2v5_cap(1)
C77,2v5_cap(2)
C78,2v5_cap(3)
C79,1v2_cap
C8,fpga_vcco_small(9)
C9,fpga_vcco_small(10)
D0,bldc_boot_diode(1)
D1,bldc_boot_diode(2)
D10,bldc_clamp(5)
D11,bldc_clamp(6)
D12,bldc_clamp(7)
D13,bldc_clamp(8)
D14,bldc_clamp(9)
D15,bldc_clamp(10)
D16,bldc_clamp(11)
D17,bldc_clamp(12)
D2,bldc_boot_diode(3)
D3,bldc_boot_diode(4)
D4,bldc_boot_diode(5)
D5,bldc_boot_diode(6)
D6,bldc_clamp(1)
D7,bldc_clamp(2)
D8,bldc_clamp(3)
D9,bldc_clamp(4)
J0,pmod_hdr0
J1,pmod_hdr1
J10,sense_hdrs(0)
J11,sense_hdrs(1)
J12,bldc_out(0)
J13,bldc_out(1)
J14,brushed_out(0)
J15,brushed_out(1)
J16,motor_power
J17,rs232_port
J18,rs232_aux_port
J19,lanc
J2,gpio-hdr
J20,12vdc_in
J3,mode_sel
J4,hswap_sel
J5,rom_en
J6,jtag_par_iv_hdr
J7,jtag_hdr
