QUANTITY, NAME, REFDES, PKG_TYPE, COST, MFGR, NAME, PARTNUMBER, VALUE
1, ad9739, U1, ANALOG_DEVICES_BC-160-1, 70.00, AnalogDevices, , AD9739BBCZ, 
2, SMA_CON, J2; J1, SMA_AR, 4.97, AMP, , AMP221790-1, 
2, RFXF9503, T1; T2, RFMD_S20, 2.00, RFMD, , RFXF9503, 
8, capnp_0603, C22; C23; C19; C31; C20; C21; C25; C26, CC0603, 0.03, , , , 1000PF/X7R/10V
2, res_0603, R4; R5, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 90.1/1%
3, res_0603, R6; R7; R8, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 10K/1%
4, mount_hole_125, MTG1; MTG2; MTG3; MTG4, MOUNT_HOLE_125, 0.00, , , , 
1, LT3022, U2, LT3022_MSOP16, 6.10, LTC, , , 
1, res_0603, R2, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 1500/1%
1, res_0603, R3, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 187/1%
5, tant_cap_3528, C42; C43; C40; C41; C44, TANT3528, 1.55, AVX, , TCJB107M006R0045, 100UF/35mOhm/6.3V
4, capnp_0603, C3; C4; C7; C8, CC0603, 0.03, , , , 1UF/X7R/10V
8, capnp_0603, C5; C6; C15; C16; C9; C10; C11; C12, CC0603, 0.03, , , , 0.1UF/X7R/10V
4, capnp_0603, C17; C18; C13; C14, CC0603, 0.03, , , , 0.022UF/X7R/10V
2, res_0603, R13; R12, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 100/1%
1, ADCLK914, U3, ADCLK914, 16.00, AnalogDevices, , ADCLK914BCPZ-R7, 
1, capnp_0603, C24, CC0603, 0.03, , , , 0.01UF/X7R/10V
2, res_0603, R10; R11, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 49.9/1%
2, SN74AVC4T245PW, U4; U5, SN74AVC4T245PW, 16.00, TI, , SN74AVC4T245PW, 
1, asp_134488, P64, ASP-134488-01, XXXX, SAMTEC, , ASP-134488-01, 
8, TP_ROUND, TP1; TP2; TP5; TP6; TP9; TP10; TP13; TP14, TP_ROUND, , , , , 
8, TP_SQUARE, TP3; TP4; TP7; TP8; TP11; TP12; TP15; TP16, TP_SQUARE, , , , , 
