QUANTITY, NAME, REFDES, PKG_TYPE, COST, MFGR, NAME, PARTNUMBER, VALUE
29, SMA_CON, P1; P2; P3; P4; P5; P6; P7; P8; P9; P10; P11; P12; P13; P14; P15; P16; P17; P18; P19; P20; P21; P22; P23; P24; P25; P26; P27; P29; P30, SMA_STRAIT, 4.97, MOLEX, , 73391-0070, 
16, cap_0402, C1; C2; C3; C4; C5; C6; C7; C8; C9; C10; C11; C12; C23; C24; C25; C26, CC0402, 0.03, PANASONIC, , ECJ-0EB1A104K, 1uF
2, TC4-14+, T1; T2, AT224-1, $10.00, MINI-CIRCUITS, , TC4-14G2+, 
3, res_0603, R1; R2; R10, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 100
2, res_0603, R3; R4, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 49.9
4, res_0603, R5; R6; R7; R8, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 150
1, res_0603, R9, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 200
10, tant_cap, C13; C14; C15; C16; C17; C18; C19; C20; C21; C22, 7343-31, 2.60, AVXCORPORATION, , TAJD227M006RNJ, 
1, sy898533, U1, SY898533LKZ, 4.45, MICREL, , SY898533LKZ, 
4, res_0603, R11; R12; R13; R14, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 120
1, slide_switch, P28, CAS-220B, 2.28, COPALELECTRONICS, , CAS-D20TB, 
1, res_0603, R15, CR0603, 0.07, PANASONIC, , ERJ-3EKF1500V, 10K
1, asp_134488, P31, ASP-134488-01, XXXX, SAMTEC, , ASP-134488-01, 
1, 2x8_hdr, J1, HDR2x8/0_100, 1.03, MOLEX, , 90131-0768, 
4, mount_hole_125, H1; H2; H3; H4, MOUNT_HOLE_125, , , , , 
