C1,power_caps(1)
C10,caps(2)
C11,caps(3)
C12,caps(4)
C13,caps(5)
C14,caps(6)
C15,caps(7)
C16,caps(8)
C17,caps(9)
C18,caps(10)
C19,caps(11)
C2,power_caps(2)
C20,caps(12)
C21,caps(13)
C3,power_caps(3)
C4,power_caps(4)
C5,cpu_caps(1)
C6,cpu_caps(2)
C7,cpu_caps(3)
C8,cpu_caps(4)
C9,caps(1)
DISP1,displays(1)
DISP2,displays(2)
J3,volt_clip
Q1,power_bjt(1)
Q2,power_bjt(2)
Q3,bjt_seg_array(1)
Q4,bjt_seg_array(2)
Q5,bjt_seg_array(3)
Q6,bjt_seg_array(4)
R1,power_res_array(1)
R10,res_seg_array(1)
R11,res_seg_array(2)
R12,res_seg_array(3)
R13,res_seg_array(4)
R14,res_seg_array(5)
R15,res_seg_array(6)
R16,res_seg_array(7)
R17,res_seg_array(8)
R18,res_bjt_array(1)
R19,res_bjt_array(2)
R2,power_res_array(2)
R20,res_bjt_array(3)
R21,res_bjt_array(4)
R22,amp_res_array(1)
R23,amp_res_array(2)
R24,amp_res_array(3)
R25,amp_res_array(4)
R26,amp_res_array(5)
R27,amp_res_array(6)
R28,amp_res_array(7)
R29,amp_res_array(8)
R3,power_res_array(3)
R30,amp_res_array(9)
R31,amp_res_array(10)
R32,amp_res_array(11)
R33,amp_res_array(12)
R34,amp_res_array(13)
R35,amp_res_array(14)
R4,power_res_array(4)
R5,power_res_array(5)
R6,power_res_array(6)
R7,power_res_array(7)
R8,cpu_resistors(1)
R9,cpu_resistors(2)
SW1,switch
TP1,test_points(1)
TP2,test_points(2)
TP3,test_points(3)
TP4,test_points(4)
U1,power_supply
U2,CPU
U3,opAmps
X1,tranducer
